country,country_code,medal_type,date_of_medal,gender,sport,event
Belgium,BEL,Gold,7/27/2024,Male,Cycling Road,Men's Individual Time Trial
Italy,ITA,Silver,7/27/2024,Male,Cycling Road,Men's Individual Time Trial
Belgium,BEL,Bronze,7/27/2024,Male,Cycling Road,Men's Individual Time Trial
Australia,AUS,Gold,7/27/2024,Female,Cycling Road,Women's Individual Time Trial
Great Britain,GBR,Silver,7/27/2024,Female,Cycling Road,Women's Individual Time Trial
United States,USA,Bronze,7/27/2024,Female,Cycling Road,Women's Individual Time Trial
China,CHN,Gold,7/27/2024,Female,Diving,Women's Synchronised 3m Springboard
United States,USA,Silver,7/27/2024,Female,Diving,Women's Synchronised 3m Springboard
Great Britain,GBR,Bronze,7/27/2024,Female,Diving,Women's Synchronised 3m Springboard
Korea,KOR,Gold,7/27/2024,Male,Fencing,Men's Sabre Individual
Tunisia,TUN,Silver,7/27/2024,Male,Fencing,Men's Sabre Individual
Italy,ITA,Bronze,7/27/2024,Male,Fencing,Men's Sabre Individual
"Hong Kong, China",HKG,Gold,7/27/2024,Female,Fencing,Women's Épée Individual
France,FRA,Silver,7/27/2024,Female,Fencing,Women's Épée Individual
Hungary,HUN,Bronze,7/27/2024,Female,Fencing,Women's Épée Individual
Kazakhstan,KAZ,Gold,7/27/2024,Male,Judo,Men -60 kg
France,FRA,Silver,7/27/2024,Male,Judo,Men -60 kg
Japan,JPN,Bronze,7/27/2024,Male,Judo,Men -60 kg
Spain,ESP,Bronze,7/27/2024,Male,Judo,Men -60 kg
Japan,JPN,Gold,7/27/2024,Female,Judo,Women -48 kg
Mongolia,MGL,Silver,7/27/2024,Female,Judo,Women -48 kg
France,FRA,Bronze,7/27/2024,Female,Judo,Women -48 kg
Sweden,SWE,Bronze,7/27/2024,Female,Judo,Women -48 kg
France,FRA,Gold,7/27/2024,Male,Rugby Sevens,Men
Fiji,FIJ,Silver,7/27/2024,Male,Rugby Sevens,Men
South Africa,RSA,Bronze,7/27/2024,Male,Rugby Sevens,Men
China,CHN,Gold,7/27/2024,Mixed Gender,Shooting,10m Air Rifle Mixed Team
Korea,KOR,Silver,7/27/2024,Mixed Gender,Shooting,10m Air Rifle Mixed Team
